form_index,form_group_id,section_number,part_index,part_count,form_title,website_label,description,source_rows,question_count,total_points,question_number_in_form,source_file,source_sheet,source_row,section,rule,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,points,feedback
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,11,Chapter2_Section1.xlsx,Chapter2_Section1,12,Chapter 2 Section 1,20102,What examination is established under Rule 020102 for posts graded GL. 07–10?,Annual competitive Public/Civil Service Entry Examination,Annual medical examination only,Promotion interview for retired Officers only,Private aptitude test by a contractor,A,Annual competitive Public/Civil Service Entry Examination,1,"Correct. Under PSR Rule 020102(iv), there shall be an annual competitive Public/Civil Service Entry Examination for posts graded GL. 07–10."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,12,Chapter2_Section1.xlsx,Chapter2_Section1,13,Chapter 2 Section 1,20102,The annual competitive Public/Civil Service Entry Examination under Rule 020102 is for whom?,New entrants and serving Officers wishing to transfer from other Scheduled Services,Only retired Officers,Only Officers on GL. 01,Only political appointees,A,New entrants and serving Officers wishing to transfer from other Scheduled Services,1,"Correct. Under PSR Rule 020102(iv), the examination is for new entrants and serving Officers wishing to transfer from other Scheduled Services."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,13,Chapter2_Section1.xlsx,Chapter2_Section1,14,Chapter 2 Section 1,20102,Who conducts the annual competitive Public/Civil Service Entry Examination under Rule 020102?,"The Federal Civil Service Commission in conjunction with OHCSF, ASCON and PSIN",The Staff Union alone,The Federal Ministry of Finance alone,Private companies only,A,"The Federal Civil Service Commission in conjunction with OHCSF, ASCON and PSIN",1,"Correct. Under PSR Rule 020102(iv), the examination is conducted by the Federal Civil Service Commission in conjunction with the Office of the Head of the Civil Service of the Federation, ASCON and PSIN."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,14,Chapter2_Section1.xlsx,Chapter2_Section1,15,Chapter 2 Section 1,20102,"To qualify for the examination under Rule 020102, candidates must possess what?",Qualifications in relevant disciplines as provided in the approved Schemes of Service,A political endorsement only,A private recommendation from relatives,No qualification at all,A,Qualifications in relevant disciplines as provided in the approved Schemes of Service,1,"Correct. Under PSR Rule 020102(v), candidates must possess the qualifications in relevant disciplines as provided in the approved Schemes of Service."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,15,Chapter2_Section1.xlsx,Chapter2_Section1,16,Chapter 2 Section 1,20102,Who makes the final recommendation under Rule 020102 after the examination process?,The line Ministries or Extra-Ministerial Offices,The Officer’s family,The Staff Union,The newspaper that carried the advert,A,The line Ministries or Extra-Ministerial Offices,1,"Correct. Under PSR Rule 020102(v), final recommendation is made by the line Ministries or Extra-Ministerial Offices in line with their requirements."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,16,Chapter2_Section1.xlsx,Chapter2_Section1,17,Chapter 2 Section 1,20103,"Under Rule 020103, who appoints Junior Staff on GL. 06 and below?",Each Ministry or Extra-Ministerial Office,The Federal Ministry of Foreign Affairs only,The Staff Union,The Accountant-General personally,A,Each Ministry or Extra-Ministerial Office,1,"Correct. Under PSR Chapter 2, Section 1, Rule 020103, each Ministry or Extra-Ministerial Office appoints Junior Staff on GL. 06 and below."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,17,Chapter2_Section1.xlsx,Chapter2_Section1,18,Chapter 2 Section 1,20103,Which committee handles appointment of Junior Staff under Rule 020103?,Junior Staff Committee,Senior Staff Committee only,Performance Appraisal Committee,Medical Board,A,Junior Staff Committee,1,"Correct. Under PSR Rule 020103, appointment of Junior Staff on GL. 06 and below is handled by the Junior Staff Committee of each Ministry or Office."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,18,Chapter2_Section1.xlsx,Chapter2_Section1,19,Chapter 2 Section 1,20103,"Under Rule 020103, appointments in Federal Ministries or Extra-Ministerial Offices located in States/Zones shall be from whom?",Residents of those States/Zones who possess the prescribed qualifications,Only persons from the Federal Capital Territory,Only retired Officers,Only foreign applicants,A,Residents of those States/Zones who possess the prescribed qualifications,1,"Correct. Under PSR Rule 020103, appointments in Federal Ministries or Extra-Ministerial Offices located in States/Zones shall be from residents of those States/Zones who possess the qualifications prescribed in the approved Schemes of Service."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,19,Chapter2_Section1.xlsx,Chapter2_Section1,20,Chapter 2 Section 1,20103,The qualifications required for State/Zone appointments under Rule 020103 must be those prescribed where?,In the approved Schemes of Service,In a private family record,In a newspaper opinion article,In a political manifesto,A,In the approved Schemes of Service,1,"Correct. Under PSR Rule 020103, residents of the relevant States/Zones must possess the qualifications prescribed in the approved Schemes of Service."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,20,Chapter2_Section1.xlsx,Chapter2_Section1,21,Chapter 2 Section 1,20104,What is the incremental date of an Officer appointed or promoted to a post in the Federal Public Service?,1st January of every year,31st December of every year,The Officer’s birthday,The date of annual leave,A,1st January of every year,1,"Correct. Under PSR Chapter 2, Section 1, Rule 020104, the incremental date of an Officer appointed or promoted to a post in the Federal Public Service is 1st January of every year."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,21,Chapter2_Section1.xlsx,Chapter2_Section1,22,Chapter 2 Section 1,20104,"Before enjoying increment under Rule 020104, how long must an Officer have spent on the grade?",At least six months,At least one week,At least ten years,At least one day,A,At least six months,1,"Correct. Under PSR Rule 020104, an Officer must have spent at least six months on the grade before enjoying the increment."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,22,Chapter2_Section1.xlsx,Chapter2_Section1,23,Chapter 2 Section 1,20104,What additional condition is required before an Officer enjoys increment under Rule 020104?,Good performance,Automatic seniority only,Political recommendation,Unpaid service,A,Good performance,1,"Correct. Under PSR Rule 020104, an Officer must have spent at least six months on the grade with good performance before enjoying increment."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,23,Chapter2_Section1.xlsx,Chapter2_Section1,24,Chapter 2 Section 1,20105,"Under Rule 020105, seniority in any Department is determined by what?",Entry date or date of assumption of duty and/or date of present appointment,The Officer’s age only,The Officer’s leave address only,The Officer’s state of origin only,A,Entry date or date of assumption of duty and/or date of present appointment,1,"Correct. Under PSR Chapter 2, Section 1, Rule 020105, seniority in any Department is determined by the entry date/date of assumption of duty certified by an authorized Officer and/or date of present appointment."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,24,Chapter2_Section1.xlsx,Chapter2_Section1,25,Chapter 2 Section 1,20105,The date used for seniority under Rule 020105 must be certified by whom?,An authorized Officer,A private relative,A newspaper editor,A political party official,A,An authorized Officer,1,"Correct. Under PSR Rule 020105, the entry date or date of assumption of duty used to determine seniority must be certified by an authorized Officer."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,25,Chapter2_Section1.xlsx,Chapter2_Section1,26,Chapter 2 Section 1,20105,Seniority under Rule 020105 is reflected in what records?,The appropriate register and career progression of the Officers,A personal diary only,A newspaper announcement,A private family register,A,The appropriate register and career progression of the Officers,1,"Correct. Under PSR Rule 020105, seniority is determined by the relevant dates as reflected in the appropriate register and career progression of the Officers."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,26,Chapter2_Section1.xlsx,Chapter2_Section1,27,Chapter 2 Section 1,20106,What does Rule 020106 provide about unpaid staff?,The employment of unpaid Staff is prohibited,Unpaid Staff may be employed freely,Unpaid Staff are compulsory in all MDAs,Unpaid Staff must replace paid Officers,A,The employment of unpaid Staff is prohibited,1,"Correct. Under PSR Chapter 2, Section 1, Rule 020106, the employment of unpaid Staff is prohibited."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,27,Chapter2_Section1.xlsx,Chapter2_Section1,28,Chapter 2 Section 1,20106,Which statement correctly reflects Rule 020106?,No unpaid Staff should be employed in the Federal Public Service,Unpaid Staff may be employed without records,Unpaid Staff may appoint themselves,Unpaid Staff may replace confirmed Officers,A,No unpaid Staff should be employed in the Federal Public Service,1,Correct. PSR Rule 020106 prohibits the employment of unpaid Staff.
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,28,Chapter2_Section1.xlsx,Chapter2_Section1,29,Chapter 2 Section 1,20107,Who must keep an up-to-date record of every Officer under their control?,Permanent Secretaries or Heads of Extra-Ministerial Offices,The Officer’s neighbour,The Staff Union only,A private consultant,A,Permanent Secretaries or Heads of Extra-Ministerial Offices,1,"Correct. Under PSR Chapter 2, Section 1, Rule 020107, Permanent Secretaries and Heads of Extra-Ministerial Offices shall keep an up-to-date record of every Officer under their control."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,29,Chapter2_Section1.xlsx,Chapter2_Section1,30,Chapter 2 Section 1,20107,Which form is used for staff records under Rule 020107?,Form Gen. 60,Form L.10 only,Form FC. 2 only,Form Gen. 69A only,A,Form Gen. 60,1,"Correct. Under PSR Rule 020107, Staff Record Form Gen. 60 shall be used for personnel records."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,30,Chapter2_Section1.xlsx,Chapter2_Section1,31,Chapter 2 Section 1,20107,Within what period must one copy of Form Gen. 60 be sent to the specified offices under Rule 020107?,Within one month of the appointment,Within ten years of retirement,Within one week before retirement,Only after dismissal,A,Within one month of the appointment,1,"Correct. Under PSR Rule 020107, one copy of Form Gen. 60 must be sent to the specified offices within one month of the appointment."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,31,Chapter2_Section1.xlsx,Chapter2_Section1,32,Chapter 2 Section 1,20107,Which office is among those to receive a copy of Form Gen. 60 under Rule 020107?,National Record Centre in the Office of the Head of the Civil Service of the Federation,The Staff Union Secretariat,The Officer’s landlord,The local newspaper office,A,National Record Centre in the Office of the Head of the Civil Service of the Federation,1,"Correct. Under PSR Rule 020107, one copy of Form Gen. 60 must be sent to the National Record Centre in the Office of the Head of the Civil Service of the Federation, among other listed offices."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,32,Chapter2_Section1.xlsx,Chapter2_Section1,33,Chapter 2 Section 1,20107,Which of the following offices is also listed to receive Form Gen. 60 under Rule 020107?,The Office of the Accountant-General of the Federation,The Officer’s private bank only,The Staff Union welfare desk,The local community association,A,The Office of the Accountant-General of the Federation,1,"Correct. Under PSR Rule 020107, Form Gen. 60 is to be sent to the Office of the Accountant-General of the Federation, among other specified offices."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,33,Chapter2_Section1.xlsx,Chapter2_Section1,34,Chapter 2 Section 1,20107,Form Gen. 60 must be completed in what manner under Rule 020107?,In ink,In pencil only,Verbally,By phone call only,A,In ink,1,"Correct. Under PSR Rule 020107, Form Gen. 60 shall be completed in ink."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,34,Chapter2_Section1.xlsx,Chapter2_Section1,35,Chapter 2 Section 1,20107,What does Rule 020107 provide about date of birth recorded on appointment?,It shall not be changed throughout the Officer’s career,It may be changed every year,It is irrelevant to the Officer’s record,It must be deleted after confirmation,A,It shall not be changed throughout the Officer’s career,1,"Correct. Under PSR Rule 020107(ii), the date of birth recorded on appointment by an Officer shall not be changed throughout the career of the Officer."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,35,Chapter2_Section1.xlsx,Chapter2_Section1,36,Chapter 2 Section 1,20107,What is the consequence of contravening the date of birth rule under Rule 020107?,It is regarded as an act of serious misconduct,It attracts automatic promotion,It is treated as annual leave,It has no consequence,A,It is regarded as an act of serious misconduct,1,"Correct. Under PSR Rule 020107(ii), contravention of the rule on date of birth recorded on appointment is regarded as an act of serious misconduct."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,36,Chapter2_Section1.xlsx,Chapter2_Section1,37,Chapter 2 Section 1,020101-020107,"Which statement best summarises Chapter 2, Section 1 of the PSR?","It covers general appointment authority, FCSC appointments, junior staff appointments, incremental date, seniority, prohibition of unpaid staff and personnel records",It deals only with medical treatment abroad,It deals only with burial expenses,It deals only with disciplinary dismissal,A,"It covers general appointment authority, FCSC appointments, junior staff appointments, incremental date, seniority, prohibition of unpaid staff and personnel records",1,"Correct. PSR Chapter 2, Section 1, Rules 020101 to 020107 cover general appointment provisions, including authority for appointments, FCSC appointments, junior staff appointments, incremental date, seniority, prohibition of unpaid staff and personnel records."
2,ch2-s02-p01,2,1,2,PSR Chapter 2 Section 2 - Part 1,Chapter 2 Section 2 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 2, Part 1 of 2.",2-30,29,29,1,Chapter2_Section2.xlsx,Chapter2_Section2,2,Chapter 2 Section 2,20201,"Under Rule 020201, what does recruitment mean?",Promotion of Officers already in the same Ministry,Transfer of Officers from State Public Service only,Filling of vacancies by direct appointment of persons not already in any Public Service of the Federal Republic of Nigeria,Posting of confirmed Officers within the same Department,C,Filling of vacancies by direct appointment of persons not already in any Public Service of the Federal Republic of Nigeria,1,"Correct. Under PSR Chapter 2, Section 2, Rule 020201, recruitment means filling vacancies by direct appointment of persons not already in any Public Service of the Federal Republic of Nigeria."
2,ch2-s02-p01,2,1,2,PSR Chapter 2 Section 2 - Part 1,Chapter 2 Section 2 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 2, Part 1 of 2.",2-30,29,29,2,Chapter2_Section2.xlsx,Chapter2_Section2,3,Chapter 2 Section 2,20201,Which process is expressly excluded from the definition of recruitment under Rule 020201?,Direct appointment of new entrants,Filling vacancies in the Federal Public Service,Transfer of Officers from other Public Service in the Federation to the Federal Public Service,Appointment of persons not already in Public Service,C,Transfer of Officers from other Public Service in the Federation to the Federal Public Service,1,"Correct. Under PSR Rule 020201, recruitment excludes the transfer of Officers from other Public Service in the Federation to the Federal Public Service."
2,ch2-s02-p01,2,1,2,PSR Chapter 2 Section 2 - Part 1,Chapter 2 Section 2 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 2, Part 1 of 2.",2-30,29,29,3,Chapter2_Section2.xlsx,Chapter2_Section2,4,Chapter 2 Section 2,20201,Recruitment under Rule 020201 applies to persons with what status?,Persons not already in any Public Service of the Federal Republic of Nigeria,Only Officers already transferred from another Public Service,Only retired Officers,Only Officers already confirmed in the Federal Civil Service,A,Persons not already in any Public Service of the Federal Republic of Nigeria,1,Correct. PSR Rule 020201 defines recruitment as direct appointment of persons not already in any Public Service of the Federal Republic of Nigeria.
2,ch2-s02-p01,2,1,2,PSR Chapter 2 Section 2 - Part 1,Chapter 2 Section 2 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 2, Part 1 of 2.",2-30,29,29,4,Chapter2_Section2.xlsx,Chapter2_Section2,5,Chapter 2 Section 2,20202,Which of the following is a category of appointment into the Federal Public Service under Rule 020202?,Appointment as trainees or pupils,Appointment by private family nomination,Appointment through political campaign service,Appointment by informal verbal promise,A,Appointment as trainees or pupils,1,"Correct. Under PSR Chapter 2, Section 2, Rule 020202, appointment into the Federal Public Service may be as trainees or pupils."
2,ch2-s02-p01,2,1,2,PSR Chapter 2 Section 2 - Part 1,Chapter 2 Section 2 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 2, Part 1 of 2.",2-30,29,29,5,Chapter2_Section2.xlsx,Chapter2_Section2,6,Chapter 2 Section 2,20202,Which appointment category under Rule 020202 relates to a pensionable post?,Acting appointment only,Special appointment only,Appointment on probation in a pensionable post,Appointment by family recommendation,C,Appointment on probation in a pensionable post,1,Correct. PSR Rule 020202 lists appointment on probation in a pensionable post as one of the categories of appointment into the Federal Public Service.
2,ch2-s02-p01,2,1,2,PSR Chapter 2 Section 2 - Part 1,Chapter 2 Section 2 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 2, Part 1 of 2.",2-30,29,29,6,Chapter2_Section2.xlsx,Chapter2_Section2,7,Chapter 2 Section 2,20202,Which of the following is listed as a type of appointment under Rule 020202?,Non-pensionable contract,Private honorary service,Political campaign engagement,Unpaid informal attachment,A,Non-pensionable contract,1,"Correct. Under PSR Rule 020202, appointment into the Federal Public Service may be on non-pensionable contract."
2,ch2-s02-p01,2,1,2,PSR Chapter 2 Section 2 - Part 1,Chapter 2 Section 2 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 2, Part 1 of 2.",2-30,29,29,7,Chapter2_Section2.xlsx,Chapter2_Section2,8,Chapter 2 Section 2,20202,Which option correctly lists categories of appointment under Rule 020202?,"Trainee or pupil, probation in a pensionable post, non-pensionable contract, acting appointment and special appointment","Annual leave, maternity leave, sick leave and casual leave","Dismissal, suspension, warning and surcharge","Posting, deployment, secondment and retirement",A,"Trainee or pupil, probation in a pensionable post, non-pensionable contract, acting appointment and special appointment",1,"Correct. PSR Rule 020202 lists these categories of appointment: trainee or pupil, probation in a pensionable post, non-pensionable contract, acting appointment and special appointment."
2,ch2-s02-p01,2,1,2,PSR Chapter 2 Section 2 - Part 1,Chapter 2 Section 2 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 2, Part 1 of 2.",2-30,29,29,8,Chapter2_Section2.xlsx,Chapter2_Section2,9,Chapter 2 Section 2,20202,How should Ministries and Extra-Ministerial Offices treat appointments made by the FCSC to NYSC Presidential Merit Award winners?,They may reject them because of vacancy constraints,They shall accept them because employment is automatic regardless of vacancy constraints,They must convert them to unpaid staff,They must wait until the next leave year,B,They shall accept them because employment is automatic regardless of vacancy constraints,1,"Correct. Under PSR Rule 020202, Ministries and Extra-Ministerial Offices shall accept appointments made by the Federal Civil Service Commission to NYSC Presidential Merit Award winners whose employment is automatic regardless of vacancy constraints."
2,ch2-s02-p01,2,1,2,PSR Chapter 2 Section 2 - Part 1,Chapter 2 Section 2 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 2, Part 1 of 2.",2-30,29,29,9,Chapter2_Section2.xlsx,Chapter2_Section2,10,Chapter 2 Section 2,20202,What percentage of all recruitments in the Service is reserved for persons with disability under Rule 020202?,One percent,Ten percent,Five percent,Twenty percent,C,Five percent,1,"Correct. Under PSR Rule 020202, five percent of all recruitments in the Service shall be reserved for persons with disability."
2,ch2-s02-p01,2,1,2,PSR Chapter 2 Section 2 - Part 1,Chapter 2 Section 2 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 2, Part 1 of 2.",2-30,29,29,10,Chapter2_Section2.xlsx,Chapter2_Section2,11,Chapter 2 Section 2,20203,What should normally happen where posts prove difficult to fill from within the Service?,They should normally be advertised,They should be abolished automatically,They should be filled only by relatives of serving Officers,They should be left vacant permanently,A,They should normally be advertised,1,"Correct. Under PSR Rule 020203, where posts prove difficult to fill from within the Service, they shall normally be advertised."
2,ch2-s02-p01,2,1,2,PSR Chapter 2 Section 2 - Part 1,Chapter 2 Section 2 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 2, Part 1 of 2.",2-30,29,29,11,Chapter2_Section2.xlsx,Chapter2_Section2,12,Chapter 2 Section 2,20203,Rule 020203 mainly addresses what situation?,Posts difficult to fill from within the Service,Annual leave computation,Disciplinary dismissal,Burial expenses,A,Posts difficult to fill from within the Service,1,Correct. PSR Rule 020203 provides that posts which prove difficult to fill from within the Service shall normally be advertised.
